dtxsid;aver_toxval_cm;toxval_pred_log;exactMass;weight;error;Un56;Un57;Un59;Un63;Un70;Un72;Un77;Un142;Un189;Un191;Un197;Un234;Un300;Un329;Un333;Un341;Un354;Un355;Un356;Un359;Un361;Un408;Un411;Un413;Un418;Un428;Un434;Un435;Un436;Un440;Un441;Un443;Un445;Un446;Un447;Un449;Un450;Un451;Un452;Un454;Un456;Un458;Un459;Un461;Un463;Un465;Un467;Un469;Un470;Un472;Un473;Un475;Un476;Un477;Un480;Un481;Un487;Un489;Un490;Un492;Un493;Un494;Un497;Un499;Un502;Un505;Un509;Un510;Un512;Un513;Un514;Un516;Un517;Un518;Un519;Un521;Un674;Un707;Un714;Un720;Un813;Un814;Un867;Un881;Un884;Un894;Un920;Un931;Un940;Un948;Un959;Un960;Un967;Un1019;Un1023;Un1044;Un1047;Un1049;Un1051;Un1056;Un1057;Un1067;Un1068;Un1078;Un1079;Un1095;Un1104;Un1109;Un1120;Un1121;Un1132;Un1140;Un1142;Un1145;Un1148;Un1164;Un1167;Un1171;Un1173;Un1174;Un1184;Un1187;Un1195;Un1200;Un1207;Un1209;Un1210;Un1214;Un1216;Un1224;Un1225;Un1226;Un1227;Un1232;Un1239;Un1240;Un1263;Un1283;Un1325;Un1409;Un1422;Un1500;Un1706;Un1754;Un1758;Un1790;Un1852;Un1902;Un1912;Un2062;Un2247;Un2568;Un2974;Un3050;Un3053;Un3956;Un4003;Un4075;Un4263;Un4632;Un4777;Un4783;Un4801;Un4807;Un4816;Un4863;Un4968;Un5014;Un5048;Un5068;Un5079;Un5090;Un5100;Un5117;Un5126;Un5130;Un5135;Un5138;Un5148;Un5152;Un5157;Un5158;Un5190;Un5196;Un5198;Un5203;Un5290;Un5350;Un5351;Un6221;Un8235;Un8236;Un8285;Un8299;Un8316;Un8341;Un8390;Un8406;Un8421;Un8428;Un8433;Un8491;Un8559
DTXSID2020006;0.7314653551647325;0.31588053703308105;151.063328534;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
DTXSID9020112;-1.0315978424128223;-1.4183099269866943;215.0937732;3.8778675245483303;-0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DTXSID3020122;-2.992550498305472;-3.53001070022583;317.005770604;1.6336025736449922;0.8272680122051312;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DTXSID7020182;-1.69539606878413;-2.059136390686035;228.115029755;3.8778675245483303;-0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0
DTXSID3020205;-2.223554460048011;-2.248195171356201;312.136159124;5;0.1339237091726123;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
DTXSID3020207;-2.6514053044528234;-2.834531784057617;240.074621494;5;0.13412665626165998;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
DTXSID0020232;-0.10900467666262971;0.03196629881858826;194.080375578;3.8778675245483303;-0.2;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DTXSID9020243;-3.5055664288381023;-3.391399383544922;298.9341328;3.8778675245483303;0.22216689903237022;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
DTXSID9020247;-1.350819686352819;-2.083432674407959;201.078978598;5;0.11898918911914097;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
DTXSID9020249;-2.418256496837077;-2.0190465450286865;221.105193347;5;0.0840273045366094;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
